"product_id","sku","name","description","category","subcategory","brand","price","cost","stock_quantity","weight_kg","length_cm","width_cm","height_cm","status","created_date","rating_average","review_count"
1,"PRD-0019J3-BCY","Book Supercharged","Advanced algorithms optimize performance metrics","Beverages","Sweaters","BeltBasics",1162.99,580.99,107,9.73,69.6,55.1,14.1,"active","2022-06-08",1.2,1504
2,"PRD-0023R0-IFV","Advanced LaptopBag","Premium features at budget-friendly pricing","Grocery","Jewelry","ActiveGear",160.99,1226.99,468,22.47,165.0,102.2,10.1,"active","2022-03-08",2.5,2542
3,"PRD-009L8C-ZQF","InstantCamera Extreme","Bold design statement for fashion forward users","Clothing","Bags","AutumnCharm",1067.99,914.99,76,16.58,193.3,100.7,88.9,"out_of_stock","2025-03-15",1.9,1159
4,"PRD-00JXMX-JRA","Giga SecurityCamera","Quality assurance on every unit produced","Games","Keyboards","TurboRun",476.99,533.99,12,18.6,62.2,78.6,55.2,"active","2024-08-15",1.3,4090
5,"PRD-00Q0D9-TWP","Smart PoloShirt","Rapid processing speeds accelerate workflows","Educational Materials","Storage","FormalLine",1562.99,397.99,132,8.98,123.0,44.2,68.6,"active","2022-02-08",4.6,4041
6,"PRD-00QM11-JAJ","Sophisticated Planner","Premium features at budget-friendly pricing","Lighting","Pajamas","WinterWrap",1792.99,261.95,364,0.3,95.0,9.6,28.1,"active","2024-07-04",2.9,3532
7,"PRD-00TADY-AQY","InstantCamera","Biodegradable packaging minimizes waste impact","Electronics","ScienceFiction","ChampionGear",141.99,1235.99,145,16.53,189.7,73.2,63.7,"active","2025-12-11",3.5,746
8,"PRD-017S4F-NZO","BasketballShoes Accelerated","Competitive pricing for market-leading features","Bedding","Jackets","VIPChoice",584.99,795.95,32,6.23,20.8,6.5,95.5,"active","2021-08-17",3.1,2845
9,"PRD-01A942-DRQ","MirrorlessCamera","Precision engineered for optimal durability","Skincare","Scarves","PointerPro",942.99,589.99,304,36.56,16.0,33.4,79.6,"out_of_stock","2020-07-11",4.6,1972
10,"PRD-01COG2-YKO","Harmony Beanie","Helpful documentation supports quick learning","Cameras","Backpacks","HubHaven",267.99,167.95,216,15.92,142.4,128.1,40.8,"active","2022-01-21",3.8,397
